FeatureID,MinScan,MaxScan,MinCharge,MaxCharge,MonoMass,RepScan,RepCharge,RepMz,Abundance,ApexScanNum,ApexIntensity,MinElutionTime,MaxElutionTime,ElutionLength,Envelope,LikelihoodRatio
2,154,210,8,19,11594.20339,175,18,0,46167227232,175,26461486270,3.13,3.92,0.79,"0,12775818.96;1,367841293.05;2,1064284334.69;3,2069022233.34;4,3710885769.64;5,5244014119.28;6,6013374628.47;7,6533353017.97;8,5972604807.11;9,4986439728.54;10,3873718824.95;11,2747508041.86;12,1753808315.08;13,1129535596.17;14,584986596.91;15,55407572.59;16,11542478.93;17,36116655.91;",1
3,1926,6000,9,22,13458.45995,5713,13,898.7,30798747294,5713,20683920597,140.03,148.2,8.17,"0,206422.55;1,9770341.67;2,166089504.07;3,498213939.81;4,1168881948.85;5,2087017561.78;6,3080964705.69;7,3907177153.24;8,4240563891.15;9,4099078888.27;10,3606937246.00;11,2773693500.43;12,2020319515.51;13,1427209836.53;14,884946695.98;15,524397019.36;16,301966925.29;17,1126752.22;18,123352.14;19,6723.67;20,17790.74;",0.99
4,182,357,12,27,16462.16592,189,23,659.93,28146272160,189,12829199135,3.53,6.14,2.61,"1,8496321.43;2,28919003.93;3,204282250.43;4,435714084.40;5,811475514.83;6,1454801857.67;7,2167801089.01;8,2768150292.86;9,3324283374.63;10,3490812239.59;11,3182213780.95;12,2830947698.43;13,2300500484.20;14,1791355242.62;15,1258391027.28;16,873433623.32;17,575970757.07;18,373912530.41;19,248319232.40;20,16484232.95;",1
5,224,245,9,22,13405.19166,224,20,610.7,18216003776,224,11461982741,4.12,4.42,0.31,"1,24395342.16;2,299179212.22;3,626204096.24;4,1121326472.10;5,1686686296.79;6,2199484253.50;7,2336368574.88;8,2392845485.97;9,2209459095.97;10,1797162976.33;11,1317734758.58;12,939678709.11;13,590464906.51;14,378528922.13;15,224916602.61;16,71564692.20;",1
6,189,203,14,28,16893.98361,189,27,0,14289008064,189,9548351164,3.63,3.82,0.19,"4,64691482.04;5,127311899.74;6,936030276.79;7,1080660696.46;8,1931897956.88;9,1622647228.48;10,1608192357.62;11,1739472475.23;12,1320604410.30;13,978541753.81;14,906829323.80;15,565715230.78;16,358102707.60;17,380501871.17;18,227947562.22;19,94979525.08;20,114454726.57;21,94766439.61;22,135656942.08;",0.98
7,126,175,7,17,10461.04409,133,15,616.74,21364590848,133,8368221900,2.76,3.42,0.67,"0,19937668.83;1,346025656.57;2,975277658.70;3,1605263273.36;4,2398232790.47;5,2944527932.17;6,3214401915.74;7,2904290549.70;8,2386653148.84;9,1795744448.48;10,1250517822.66;11,813701272.39;12,454346283.28;13,241306079.23;14,14360061.26;",1
8,182,203,12,27,16478.14942,189,24,635.13,18256517824,189,8022165470,3.53,3.82,0.29,"1,12683235.70;2,10766888.83;3,211792734.93;4,305761316.61;5,718161538.58;6,972613580.26;7,1337562375.83;8,2053982419.30;9,1890344667.41;10,2124341712.04;11,1947995584.79;12,1775552049.54;13,1431454142.80;14,1242116891.21;15,887602852.81;16,572013928.89;17,368448746.88;18,257510119.03;19,135808984.87;",1
9,224,252,9,22,13436.57099,224,21,0,12848571680,224,7784701979,4.12,4.54,0.42,"1,37330190.32;2,161065638.29;3,447602755.65;4,766942660.65;5,1130674111.31;6,1552576608.92;7,1682976422.48;8,1723224468.75;9,1565655539.95;10,1148560735.36;11,928672564.48;12,626576895.67;13,392203006.36;14,334750404.21;15,241702310.53;16,108054455.50;",1
10,133,168,5,10,6180.558522,140,10,0,20999678464,140,7728617075,2.85,3.32,0.47,"0,675105848.50;1,2223275523.62;2,3762226100.43;3,4474794153.73;4,3920979253.75;5,2813122332.54;6,1638976885.75;7,899600908.02;8,407612361.68;9,183984016.16;",1
11,210,259,10,24,14722.84466,217,23,0,13119199744,217,6645311208,3.92,4.64,0.73,"1,14118910.35;2,12619085.23;3,178870922.94;4,368058655.26;5,675446837.30;6,1033771968.51;7,1428735679.48;8,1647865738.27;9,1677693237.17;10,1606589951.19;11,1346844982.28;12,1097522737.59;13,830070395.73;14,517646530.08;15,331351237.43;16,223497527.17;17,128492876.29;",1
