FeatureID,MinScan,MaxScan,MinCharge,MaxCharge,MonoMass,RepScan,RepCharge,RepMz,Abundance,ApexScanNum,ApexIntensity,MinElutionTime,MaxElutionTime,ElutionLength,Envelope,LikelihoodRatio
1273,1924,1994,28,53,31851.49722,1931,48,638.28,100058376,1931,34410346.43,37.58,39.51,1.93,"8,37090.66;9,497076.56;10,1256166.75;11,2808944.32;12,3310850.90;13,3303065.04;14,3780354.67;15,4303165.85;16,6119431.12;17,5381577.11;18,6498290.59;19,6167980.49;20,5441068.81;21,6142675.75;22,5159315.51;23,4304876.07;24,2651883.24;25,3953675.81;26,2469789.85;27,3177961.46;28,3460634.55;29,3668442.33;30,4114611.25;31,2891406.46;32,2902729.28;33,2367392.43;34,2284279.92;35,1059358.65;36,540883.54;",0.93
1274,1959,2428,6,11,6682.399507,2295,9,609.07,38313493.25,2295,34350666.63,46.91,49.99,3.08,"0,8795.00;1,2498917.06;2,3718722.18;3,7217698.34;4,8351067.27;5,6791695.57;6,4331423.84;7,2314246.76;8,1148523.16;9,1009751.25;10,638191.78;11,284160.77;",0.99
1275,1812,1833,8,13,8270.696077,1812,12,0,51043549,1812,34340014.42,34.95,35.43,0.48,"0,4206209.71;1,3838388.71;2,4874214.83;3,6096314.89;4,4026078.11;5,4816215.48;6,6139105.37;7,6478807.24;8,5333845.49;9,3463090.16;10,1770829.51;",0.9
1276,1959,5313,32,78,47235.08659,5075,56,815.96,172936026,5075,34332249.47,118.45,126.78,8.34,"15,280902.81;16,2361145.14;17,3454620.78;18,5383217.07;19,6644156.66;20,5621061.90;21,4992539.71;22,6152437.27;23,5772288.73;24,5734350.26;25,8366508.35;26,5662479.24;27,6348480.70;28,8552434.04;29,7358523.84;30,7054979.95;31,7148751.18;32,5819340.39;33,6919966.25;34,6575378.65;35,5206025.40;36,6051761.07;37,6259268.45;38,5308013.87;39,6327151.08;40,5911151.61;41,5733211.41;42,6095055.20;43,5256772.76;44,3063392.55;45,1366563.56;46,140050.87;",0.89
1277,1959,2554,24,37,22343.55683,2526,31,678.48,54402186,2526,34287255.41,52.42,53.11,0.69,"1,130459.16;2,1048693.27;3,753502.33;4,1311312.49;5,2586557.88;6,985308.70;7,1556160.93;8,2895075.10;9,909758.78;10,4071762.81;11,3242982.40;12,3107014.91;13,5057959.48;14,5297783.18;15,3571239.76;16,4214159.72;17,3216945.40;18,2784063.78;19,2528781.65;20,1367007.43;21,1373771.47;22,323357.38;23,881308.35;24,419902.16;25,766245.56;",0.94
1278,1959,3583,41,97,58664.3412,3583,64,890.47,53037202,3583,34223446.83,78.14,79.92,1.78,"19,35667.07;20,323166.95;21,447118.27;22,972641.69;23,1970497.64;24,1399604.22;25,1369829.89;26,1403997.92;27,1711977.60;28,1583226.45;29,1705092.29;30,1651069.26;31,1690691.80;32,1733187.38;33,1686961.79;34,2485972.48;35,1746711.68;36,2407536.25;37,1868735.52;38,2300270.53;39,1507762.46;40,2158977.98;41,2031589.36;42,1689115.81;43,1460419.57;44,1636407.69;45,1535670.23;46,1979236.38;47,1971176.97;48,1372695.92;49,1596934.08;50,1289793.86;51,995107.81;52,837614.11;53,400755.42;54,74752.93;",0.9
1279,1959,3184,33,58,34950.41111,3170,35,946.42,60119866,3170,34202165.26,68.09,68.49,0.4,"10,641889.40;11,836731.30;12,2237837.15;13,2228813.59;14,1907222.78;15,3671617.67;16,1815093.72;17,2798334.99;18,2943298.07;19,2695776.90;20,3542841.42;21,2865205.73;22,4009616.92;23,2885223.78;24,2120030.91;25,3162827.12;26,2462592.52;27,2543482.05;28,2753070.07;29,2102300.47;30,2230173.49;31,2300834.51;32,1724924.37;33,2315362.17;34,1097380.34;35,201802.06;36,22614.86;",0.91
1280,1959,5761,54,100,77512.61078,5761,97,0,52427952,5761,34185349.3,137.52,139.09,1.57,"30,8403.05;31,364106.09;32,867028.05;33,1251181.22;34,1268884.35;35,1094356.15;36,1211216.23;37,1448032.36;38,1816763.64;39,1341075.24;40,1470388.60;41,1392848.39;42,1360991.23;43,1621586.63;44,1598470.42;45,1999798.16;46,1362531.63;47,1564659.94;48,2346356.56;49,2071716.77;50,2494423.55;51,1883875.35;52,1266561.94;53,1118188.20;54,1530059.82;55,1506226.47;56,999902.56;57,1219007.44;58,1251612.28;59,1004685.09;60,1417347.13;61,1432674.70;62,1445322.81;63,1416053.30;64,828297.66;65,1296956.29;66,1293717.94;67,1162286.44;68,397916.66;",0.9
1281,1959,3625,41,92,56092.34564,3625,72,759.32,67833836,3625,34165156.74,80.75,81.15,0.41,"14,41227.92;15,451767.74;16,968825.67;17,1130557.21;18,1502133.21;19,1096246.07;20,1474264.23;21,1383933.45;22,1572478.42;23,1715702.19;24,1539076.95;25,1950339.62;26,1620766.45;27,2155958.21;28,2322921.14;29,3058794.46;30,2670946.39;31,2968228.69;32,2267969.02;33,2262415.73;34,2531791.23;35,1950527.46;36,3251504.32;37,1671335.65;38,3913328.19;39,1851334.96;40,3312573.70;41,2275503.17;42,2223876.72;43,3284990.51;44,2488828.55;45,3216522.05;46,766101.21;47,864472.44;48,72246.25;",0.88
1282,1959,3604,46,100,72433.36205,3604,86,824.77,63537136,3604,34127170.12,80.32,80.55,0.23,"27,48062.25;28,428009.80;29,1632473.02;30,1051338.38;31,2079939.10;32,2009968.76;33,1377383.89;34,1095942.58;35,2003963.00;36,1103494.64;37,1532834.02;38,1624486.54;39,1531190.21;40,2107348.59;41,2352252.18;42,2232832.93;43,1942340.31;44,2216866.27;45,3586691.91;46,2327645.15;47,2462616.09;48,1985934.24;49,1650516.94;50,1297804.22;51,1495100.40;52,1878598.59;53,1626884.46;54,1871577.17;55,1921762.72;56,1698112.21;57,1736145.36;58,1489257.48;59,1839309.22;60,1288070.00;61,1573406.31;62,1747954.72;63,1271606.07;64,414061.17;",0.89
1283,1959,3079,6,14,8530.478695,3065,10,712.22,119273067,3065,34121011.15,64.77,65.58,0.81,"0,6391.30;1,4843949.62;2,9897517.44;3,16515791.11;4,20367024.22;5,19373875.87;6,17642581.39;7,12920868.18;8,8991878.24;9,4591588.24;10,2156391.87;11,1963604.11;",1
1284,1959,5250,8,19,11567.50033,5222,15,681.85,179324769,5222,34094385,123.3,125.03,1.72,"0,73211.87;1,2169334.36;2,3484012.53;3,6031602.26;4,13810410.53;5,21760929.48;6,25252222.45;7,26480501.75;8,26913997.60;9,17733039.31;10,12992638.62;11,9905533.47;12,5499579.57;13,4335777.31;14,2876600.24;",0.99
1285,1959,3352,22,58,34725.80717,3247,49,682.5,76592872,3247,34076942.26,70.32,73.33,3.02,"10,77810.18;11,546267.33;12,1669920.71;13,2052302.93;14,3824163.50;15,2909334.20;16,2939305.12;17,5411557.01;18,3261395.37;19,4217566.76;20,3617020.57;21,3019304.28;22,5158196.15;23,4650715.51;24,3044960.46;25,4173343.16;26,3557271.17;27,2551221.93;28,3415554.63;29,1714650.90;30,2978691.49;31,2433450.87;32,2041759.03;33,2224390.84;34,2312485.21;35,1424011.58;36,1112525.53;37,250281.78;",0.92
1286,1959,3646,34,82,49717.83913,3646,67,721.87,62434342,3646,34053543.12,79.53,81.76,2.23,"17,67282.35;18,1130406.31;19,1938242.79;20,1906959.64;21,2407162.72;22,1817674.92;23,2411444.10;24,1769157.70;25,2171964.09;26,2243261.22;27,2396887.76;28,2706435.30;29,2633070.21;30,3784737.98;31,3104382.23;32,2509137.91;33,2005979.11;34,1575908.61;35,2483703.66;36,2319652.72;37,1756548.48;38,1977357.19;39,1986787.92;40,2161414.12;41,1775165.13;42,1901297.08;43,1524031.43;44,1855870.53;45,1493684.60;46,1553040.81;47,849298.12;48,211645.82;",0.9
1287,1959,2610,10,25,15347.17011,2582,19,732.03,93377496,2582,34003502.65,53.77,54.48,0.71,"3,1871476.63;4,2852786.18;5,6231588.20;6,5278157.50;7,8142973.53;8,10915463.94;9,8606784.82;10,9715203.17;11,10091288.12;12,6714529.51;13,5460540.83;14,4521256.43;15,3795018.27;16,3390548.79;17,1509977.80;18,2572404.55;19,1163230.99;20,542658.65;",0.98
1288,1959,5586,11,28,17243.01909,5565,19,822.57,192507311,5565,33616075.44,132.92,134.26,1.34,"1,200751.49;2,642640.85;3,2168323.70;4,3073818.08;5,5467613.81;6,8585291.44;7,13036916.46;8,18183494.05;9,21400901.03;10,21275017.42;11,21641285.40;12,19362772.43;13,16606548.87;14,11404757.91;15,9569957.07;16,7454847.36;17,5755920.12;18,4158777.89;19,2302426.68;20,208546.79;",1
1289,1959,3289,24,52,31386.95879,3247,40,748.93,84640080,3247,33541108.83,70.32,71.51,1.2,"8,327422.25;9,981793.44;10,714913.75;11,982083.41;12,3618268.95;13,3372776.26;14,3297074.52;15,5714706.18;16,5712557.75;17,3675431.48;18,5446952.14;19,5816286.32;20,4376586.45;21,4716142.63;22,5790317.29;23,4213633.43;24,4032583.07;25,3601130.37;26,2442670.18;27,2152460.53;28,2464921.83;29,2160255.27;30,1545720.84;31,1851607.41;32,1436064.05;33,1888160.36;34,1295506.92;35,706049.13;36,302551.17;",0.95
1290,1959,3716,37,91,54761.69943,3625,58,914.08,87386958,3625,33464546.44,77.75,83.81,6.07,"18,32116.56;19,796995.58;20,1244474.38;21,1836885.00;22,2609624.26;23,3032506.55;24,2549937.69;25,3006575.49;26,3101080.03;27,2538299.16;28,3357678.24;29,3610623.88;30,2546854.78;31,3641504.59;32,3040165.76;33,3271435.24;34,3659598.75;35,3687775.63;36,3461327.44;37,2069873.58;38,2918434.60;39,2996784.91;40,2836495.17;41,3123368.25;42,2736224.27;43,3435632.43;44,3108162.10;45,2286830.98;46,2017347.31;47,2571479.57;48,2491249.24;49,1845678.64;50,1239752.06;51,646737.35;52,30107.97;",0.89
