FeatureID,MinScan,MaxScan,MinCharge,MaxCharge,MonoMass,RepScan,RepCharge,RepMz,Abundance,ApexScanNum,ApexIntensity,MinElutionTime,MaxElutionTime,ElutionLength,Envelope,LikelihoodRatio
818,1944,2228,37,63,37985.84376,2214,53,692.07,230375584,2214,124028357.4,42.44,42.79,0.34,"11,108279.44;12,4055415.67;13,3448919.43;14,9816417.83;15,7475983.29;16,10038854.86;17,11080727.50;18,7576081.12;19,11767759.46;20,8057195.57;21,12065263.64;22,10014385.34;23,15183376.37;24,8161658.03;25,9605778.40;26,14144739.15;27,9062961.19;28,10631667.04;29,9891237.35;30,11423227.67;31,3900411.67;32,12777208.95;33,5880872.91;34,6065850.18;35,6665559.64;36,5150042.44;37,4654994.31;38,1668166.10;",0.9
819,1808,1885,32,82,49142.99345,1808,64,746.23,240205992,1808,123793975.3,32.83,34.73,1.91,"18,1125625.71;19,5303536.39;20,2153706.55;21,5178417.11;22,10143354.10;23,7916752.25;24,9154993.96;25,9595530.72;26,11264727.17;27,10903043.88;28,12630703.22;29,9577294.89;30,6600883.07;31,7815977.36;32,10915392.45;33,9667187.12;34,11543569.97;35,9717186.56;36,7076501.39;37,6223488.64;38,5758105.81;39,6652655.22;40,8621392.68;41,8267427.61;42,6311758.33;43,6621400.66;44,8715374.71;45,5105626.54;46,5135923.35;47,6203098.50;48,3392825.06;49,2818975.22;50,1730569.69;51,358599.46;",0.89
820,1944,5056,7,18,10985.39768,5021,7,1222.27,447930670,5021,123730162.6,114.53,115.65,1.12,"0,921796.53;1,6112954.89;2,18384163.26;3,33797628.71;4,48971295.65;5,63421457.34;6,64198311.59;7,59484437.02;8,51626498.51;9,38450473.37;10,27756324.10;11,16833814.57;12,9741671.35;13,5833667.70;14,2176626.35;15,216432.85;",1
821,1944,2571,29,75,44941.19623,2557,59,738.13,318459392,2557,123376420.6,49.88,50.37,0.49,"13,37359.09;14,1564077.89;15,3030842.87;16,3584873.63;17,6975415.93;18,7172125.22;19,13656447.01;20,10176461.72;21,11547841.10;22,14068604.26;23,10234211.66;24,16026605.92;25,11209550.18;26,13858944.33;27,13255406.73;28,14961119.22;29,13284072.24;30,12958799.90;31,17516209.41;32,9852612.00;33,11100322.39;34,9773832.91;35,9734507.69;36,10135190.97;37,7942257.81;38,9445298.30;39,7440035.22;40,9046714.50;41,9742448.56;42,7373883.82;43,6383286.34;44,7555557.33;45,2653313.43;46,4633110.66;47,522615.72;",0.91
822,1944,3390,14,36,22082.94514,3075,23,884.89,1720041125,3075,122927150.6,61.13,70.84,9.71,"3,22887.95;4,236339.41;5,12277586.02;6,22198595.52;7,38680554.17;8,67531770.71;9,92619715.03;10,132752834.91;11,147073670.15;12,168859305.11;13,181219367.47;14,177269779.28;15,157558954.47;16,137216989.67;17,112112207.86;18,84797173.00;19,61694850.61;20,39595769.68;21,33898966.56;22,23433662.17;23,19925637.18;24,7525611.94;25,1488831.72;26,16260.01;",1
823,1944,2571,35,63,37823.90576,2529,46,789.74,379920200,2529,122145790.2,48.91,50.37,1.45,"11,2066538.13;12,8011699.00;13,16935677.22;14,8231134.99;15,15849349.45;16,11651286.43;17,12025097.82;18,24345522.22;19,13702604.14;20,21169568.20;21,11340296.42;22,15702188.62;23,25396590.29;24,16684454.28;25,23555312.51;26,13624383.97;27,14476661.37;28,19875187.63;29,11209683.53;30,18026749.62;31,10225124.91;32,13187112.53;33,14667406.35;34,9735037.01;35,13811946.40;36,10718547.94;37,3582294.11;38,106432.88;",0.89
824,1944,2571,12,25,15277.76032,2333,22,637.95,621388118,2333,121790510.7,44.77,50.37,5.59,"1,3936604.59;2,7760524.17;3,14357970.62;4,20811323.43;5,28680635.75;6,40761117.05;7,56462836.80;8,66807625.63;9,71402786.57;10,64385727.53;11,57819513.07;12,52433324.62;13,38451734.50;14,31627371.39;15,22636630.14;16,21255125.52;17,11760688.50;18,6224361.10;19,3806225.75;",0.99
825,1944,2550,49,100,64101.12799,2536,79,0,316787008,2536,121529628.1,49.23,49.88,0.64,"24,74761.37;25,1585944.16;26,3853311.66;27,6061943.47;28,5915153.89;29,6931526.22;30,9431239.92;31,9653810.92;32,11369947.85;33,11619646.01;34,9808890.05;35,12394276.85;36,14851348.04;37,11599296.76;38,8951639.56;39,15887654.10;40,12969979.91;41,8223201.10;42,11514647.96;43,13035822.87;44,9289251.05;45,7925738.57;46,10994859.00;47,7137664.03;48,8258693.68;49,11483644.22;50,9714878.93;51,7202078.02;52,8798214.06;53,11275916.92;54,7553114.71;55,6811146.86;56,8956262.08;57,8270700.54;58,2466708.96;59,2530892.37;60,1869905.02;61,507824.23;",0.9
826,1944,2571,23,53,31973.57237,2536,44,696.3,396222640,2536,121487988.7,49.55,50.37,0.82,"5,226948.19;6,4204063.20;7,2464892.56;8,7657980.73;9,6949959.74;10,8429164.18;11,11010268.09;12,10181716.00;13,10758689.08;14,9863625.40;15,18128069.80;16,20242573.79;17,23445070.85;18,23403843.50;19,24371591.65;20,25829870.40;21,26621145.14;22,22750839.69;23,19451380.37;24,20585733.31;25,13657931.95;26,14415818.68;27,10513498.41;28,10401901.92;29,9767791.13;30,9661387.69;31,8952896.08;32,6905040.60;33,3105131.67;34,3447475.21;35,3345311.81;36,3307491.79;37,2136225.22;38,22827.71;",0.96
827,1857,1899,27,60,36474.98169,1899,50,702.99,419135008,1899,121432523.7,33.98,35.08,1.1,"8,21205.85;9,2757184.46;10,5120305.02;11,3573180.75;12,10167630.41;13,9148945.97;14,12669839.33;15,11029627.26;16,11669932.56;17,19701178.98;18,20646081.20;19,28235433.07;20,19453794.76;21,19535547.31;22,27445141.42;23,33092058.15;24,24905311.10;25,19316362.10;26,16196917.45;27,20222941.28;28,22254343.59;29,16545907.02;30,13865638.08;31,12624642.94;32,13786716.67;33,10449408.82;34,5844362.22;35,4148757.24;36,2182291.58;37,2312323.80;38,206749.81;",0.96
828,1944,4664,12,26,16012.56385,4125,19,764.19,1028289095,4125,120746622.6,90.1,105.3,15.2,"1,8264791.44;2,5915500.89;3,9019395.49;4,13662079.91;5,31718937.55;6,63592804.02;7,98218031.45;8,131983450.75;9,152884477.02;10,136475371.87;11,116966120.10;12,85353670.52;13,60582795.24;14,41812243.41;15,27944268.27;16,19001601.84;17,10695986.53;18,8925451.16;19,3304082.00;20,1646607.68;21,178381.59;22,137150.54;",0.99
